ISO,Reported endangerment level,Years,P[Y=1],P[Y=2],P[Y=3],P[Y=4],P[Y=5],P[Y=6],P[Y=7]
ibl,1,40,0.876587495,0.100178261,0.017545705,0.004251716,0.001406672,2.83e-05,1.84e-06
ibm,1,40,0.878267905,0.098948948,0.017227428,0.00415725,0.001369358,2.73e-05,1.77e-06
ibn,1,40,0.904899154,0.079044291,0.012405965,0.002784934,0.000849986,1.48e-05,8.76e-07
ibo,1,40,0.999694864,0.000294916,9.43e-06,7.18e-07,7.59e-08,1.66e-10,2.65e-12
ibr,1,40,0.827158942,0.134975819,0.027580656,0.007445785,0.002765428,6.83e-05,5.09e-06
ibu,5,40,0,0,0,0,0,0,1
iby,1,40,0.962672803,0.032873642,0.003652121,0.000645613,0.000154045,1.7e-06,7.49e-08
ica,1,40,0.951702364,0.04199278,0.005099748,0.000958517,0.000243426,3.02e-06,1.44e-07
ich,1,40,0.937004198,0.053934869,0.007212335,0.001448817,0.000393945,5.55e-06,2.86e-07
ida,1,40,0.980859274,0.017303554,0.001551252,0.000236754,4.87e-05,4.06e-07,1.5e-08
idc,1,40,0.743984125,0.187731959,0.047028283,0.014659237,0.00637167,0.000206259,1.85e-05
idd,1,40,0.945778506,0.046842174,0.0059288,0.001146582,0.000299816,3.93e-06,1.93e-07
ide,1,40,0.835634439,0.129193628,0.025771998,0.006840985,0.002494931,5.97e-05,4.36e-06
idi,1,40,0.862510402,0.110355199,0.020273606,0.00507957,0.001741355,3.73e-05,2.54e-06
idr,4,40,0,0,0,0,0,0,1
idt,2,40,0.727059586,0.197575909,0.05132938,0.016418565,0.007343922,0.000249544,2.31e-05
idu,1,40,0.989467314,0.00968745,0.000728442,9.86e-05,1.8e-05,1.19e-07,3.8e-09
ifa,1,40,0.839787564,0.126332644,0.024898487,0.006553273,0.002368272,5.57e-05,4.03e-06
ifb,1,40,0.847253911,0.121143388,0.023349674,0.006050316,0.002150105,4.91e-05,3.48e-06
ife,1,40,0.978250345,0.019576723,0.001825613,0.000286234,6.05e-05,5.31e-07,2.02e-08
iff,7,40,0,0,0,0,0,0,1
ifk,1,40,0.837042778,0.128225498,0.025474837,0.006742784,0.002451551,5.83e-05,4.24e-06
ifm,2,40,0.844157848,0.123302381,0.023988527,0.006256651,0.002239098,5.18e-05,3.7e-06
ifu,1,40,0.825956379,0.135790122,0.027840073,0.007533521,0.002805135,6.96e-05,5.2e-06
ify,1,40,0.653103662,0.236934392,0.0713073,0.025327995,0.012743997,0.000526857,5.58e-05
igb,1,40,0.993952036,0.005632604,0.000363589,4.44e-05,7.34e-06,3.98e-08,1.12e-09
ige,1,40,0.982543595,0.015827933,0.001379789,0.000206599,4.17e-05,3.35e-07,1.21e-08
igg,2,40,0.535618778,0.28622623,0.106312444,0.043920273,0.026296651,0.001439903,0.000185721
igl,1,40,0.985920317,0.012849103,0.001050627,0.000150594,2.91e-05,2.15e-07,7.34e-09
igm,1,40,0.767395871,0.173614847,0.041260788,0.012390702,0.00516849,0.000155983,1.33e-05
ign,1,40,0.445035493,0.311375053,0.135097595,0.062461907,0.042719272,0.002879509,0.00043117
igo,1,40,0.790141264,0.159348736,0.035870678,0.010367017,0.004146412,0.000116425,9.47e-06
igw,1,40,0.947495503,0.045441777,0.005685282,0.001090728,0.000282881,3.65e-06,1.78e-07
ihp,1,40,0.440966207,0.312203157,0.13640786,0.063389385,0.043618226,0.002967752,0.000447414
iii,1,40,0.934183479,0.056192977,0.007638294,0.001551858,0.000426925,6.15e-06,3.21e-07
